City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,anadyr,64.75,177.4833,13.28,71,40,2.0,RU,1688606022
122,puerto madero,14.7208,-92.4215,24.11,100,100,1.54,MX,1688606022
123,ancud,-41.8697,-73.8203,7.05,79,22,2.69,CL,1688606022
124,ribeira grande,38.5167,-28.7,19.87,85,100,1.79,PT,1688606022
125,hithadhoo,-0.6,73.0833,28.19,78,100,4.46,MV,1688606022
126,siwa oasis,29.2041,25.5195,27.5,47,0,2.97,EG,1688606022
127,hermanus,-34.4187,19.2345,10.45,72,99,4.8,ZA,1688606023
128,cabo san lucas,22.8909,-109.9124,34.78,57,0,8.23,MX,1688606023
129,itupiranga,-5.1347,-49.3267,25.18,67,26,0.71,BR,1688606023
130,argo,37.6333,22.7333,24.88,65,36,1.81,GR,1688606023
131,mount gambier,-37.8333,140.7667,11.7,74,66,6.49,AU,1688606023
132,uige,-7.6087,15.0613,16.31,60,0,0.35,AO,1688606024
133,zadonsk,52.3904,38.9261,18.49,92,100,2.81,RU,1688606024
134,amahai,-3.3333,128.9167,25.98,85,100,0.72,ID,1688606024
135,upington,-28.4478,21.2561,6.21,42,0,2.57,ZA,1688606024
136,maceio,-9.6658,-35.7353,22.69,88,75,1.03,BR,1688605872
137,la passe,45.5549,-0.8967,15.55,82,80,2.8,FR,1688606024
138,rehoboth,-23.3167,17.0833,9.66,25,1,1.16,NA,1688606024
139,turbat,26.0023,63.044,29.07,85,31,1.72,PK,1688606025
140,namibe,-15.1961,12.1522,18.81,84,0,1.69,AO,1688606025
141,westport,41.1415,-73.3579,27.19,79,0,2.57,US,1688606025
142,afaahiti,-17.75,-149.2833,27.93,70,0,7.44,PF,1688606025
143,whitehorse,60.7161,-135.0538,25.01,26,15,2.24,CA,1688605748
144,constantia,44.1833,28.65,20.39,74,0,3.37,RO,1688606026
145,paracatu,-17.2222,-46.8747,14.55,52,0,0.7,BR,1688605853
146,yaren,-0.5472,166.916,28.74,79,17,6.31,NR,1688606026
147,campo gallo,-26.5833,-62.85,22.35,54,13,2.89,AR,1688606026
148,galesong,-5.3166,119.3661,29.01,78,14,0.92,ID,1688606026
149,wattegama,6.7989,81.4808,25.21,75,100,2.36,LK,1688606026
150,port elizabeth,-33.918,25.5701,8.51,86,0,1.54,ZA,1688606026
151,varazze,44.3595,8.5741,24.47,92,47,2.7,IT,1688606027
152,baukau,51.5526,7.2042,13.92,81,15,3.58,DE,1688606027
153,jumla,29.2747,82.1838,16.47,94,100,1.18,NP,1688606027
154,ambodifotatra,-16.9833,49.85,23.72,70,71,5.38,MG,1688606027
155,tobati,-25.25,-57.0667,18.9,64,5,2.31,PY,1688606027
156,boguchany,58.3814,97.4531,21.61,60,2,1.94,RU,1688606028
157,fortaleza,-3.7227,-38.5247,28.07,74,0,6.17,BR,1688606028
158,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,3.0,RU,1688606028
159,uturoa,-16.7333,-151.4333,27.08,73,13,7.72,PF,1688606028
160,queenstown,-31.8976,26.8753,3.42,68,1,0.9,ZA,1688606028
161,blackmans bay,-43.0167,147.3167,11.07,87,56,2.54,AU,1688606028
162,praia da vitoria,38.7333,-27.0667,20.14,88,20,3.81,PT,1688606029
